,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,22000001,1610612744,Warriors,GSW,Golden State,240:00:00,86.8,88.4,110.5,111.6,-23.8,-23.2,0.703,1.44,17,0.281,0.685,0.466,15.773,16.1,0.424,0.454,1,0.201,113.6,112,93.33,112,0.35
1,22000001,1610612751,Nets,BKN,Brooklyn,240:00:00,110.5,111.6,86.8,88.4,23.8,23.2,0.571,1.2,16,0.315,0.719,0.534,17.687,17.9,0.538,0.589,1,0.201,113.6,112,93.33,112,0.65
0,22000002,1610612747,Lakers,LAL,Los Angeles,240:00:00,103.2,104.8,109.1,111.5,-5.9,-6.7,0.579,1.16,16.2,0.25,0.731,0.51,17.986,18.3,0.525,0.576,1,0.199,106,104,86.67,104,0.509
1,22000002,1610612746,Clippers,LAC,LA,240:00:00,109.1,111.5,103.2,104.8,5.9,6.7,0.5,1.38,15.8,0.269,0.75,0.49,15.043,15.4,0.548,0.572,1,0.198,106,104,86.67,104,0.491
0,22000003,1610612749,Bucks,MIL,Milwaukee,240:00:00,117.6,119.8,118.6,122,-1.1,-2.2,0.413,1.19,14.3,0.333,0.764,0.57,15.546,15.8,0.589,0.618,1,0.198,102.88,100.5,83.75,101,0.506
1,22000003,1610612738,Celtics,BOS,Boston,240:00:00,118.6,122,117.6,119.8,1.1,2.2,0.479,3.29,16.9,0.236,0.667,0.43,6.807,7,0.564,0.576,1,0.197,102.88,100.5,83.75,100,0.494
0,22000004,1610612756,Suns,PHX,Phoenix,240:00:00,102,102.9,99.6,99,2.5,3.9,0.553,1.11,16,0.205,0.843,0.547,18.29,18.4,0.551,0.583,1,0.198,103.16,103,85.83,103,0.551
1,22000004,1610612742,Mavericks,DAL,Dallas,240:00:00,99.6,99,102,102.9,-2.5,-3.9,0.472,1.42,13.6,0.157,0.795,0.453,11.714,11.7,0.476,0.529,1,0.199,103.16,103,85.83,103,0.449
0,22000005,1610612740,Pelicans,NOP,New Orleans,240:00:00,97.5,101,113.1,115.6,-15.6,-14.6,0.581,0.95,13.9,0.327,0.816,0.54,18.902,19.6,0.462,0.53,1,0.197,99.32,96.5,80.42,97,0.398
1,22000005,1610612748,Heat,MIA,Miami,240:00:00,113.1,115.6,97.5,101,15.6,14.6,0.763,1.71,22.1,0.184,0.673,0.46,17.326,17.7,0.613,0.652,1,0.198,99.32,96.5,80.42,96,0.602
0,22000006,1610612749,Bucks,MIL,Milwaukee,240:00:00,127.3,125.5,89.2,90.8,38.1,34.6,0.5,1.39,17.3,0.283,0.803,0.589,16.599,16.4,0.667,0.68,1,0.199,109.72,109.5,91.25,110,0.714
1,22000006,1610612744,Warriors,GSW,Golden State,240:00:00,89.2,90.8,127.3,125.5,-38.1,-34.6,0.412,1.27,10.4,0.197,0.717,0.411,9.91,10.1,0.394,0.45,1,0.2,109.72,109.5,91.25,109,0.286
0,22000007,1610612738,Celtics,BOS,Boston,240:00:00,93.7,96.9,127.3,125.5,-33.6,-28.6,0.622,1.53,15.9,0.413,0.718,0.529,14.799,15.3,0.418,0.447,1,0.201,99,98,81.67,98,0.322
