,GAME_ID,HOME_TEAM_ABBREVIATION,AWAY_TEAM_ABBREVIATION,H_Team_Elo_Before,A_Team_Elo_Before,H_Last_10_Avg_STL,H_Last_10_Avg_BLK,H_Last_10_Avg_PF,H_Last_10_Avg_PTS,H_Last_10_Avg_PLUS_MINUS,H_Last_10_Avg_OFF_RATING,H_Last_10_Avg_DEF_RATING,H_Last_10_Avg_AST_TOV,H_Last_10_Avg_AST_RATIO,H_Last_10_Avg_OREB_PCT,H_Last_10_Avg_DREB_PCT,H_Last_10_Avg_REB_PCT,H_Last_10_Avg_TM_TOV_PCT,H_Last_10_Avg_TS_PCT,H_Last_10_Avg_PACE,H_Last_10_Avg_PIE,A_Last_10_Avg_STL,A_Last_10_Avg_BLK,A_Last_10_Avg_PF,A_Last_10_Avg_PTS,A_Last_10_Avg_PLUS_MINUS,A_Last_10_Avg_OFF_RATING,A_Last_10_Avg_DEF_RATING,A_Last_10_Avg_AST_TOV,A_Last_10_Avg_AST_RATIO,A_Last_10_Avg_OREB_PCT,A_Last_10_Avg_DREB_PCT,A_Last_10_Avg_REB_PCT,A_Last_10_Avg_TM_TOV_PCT,A_Last_10_Avg_TS_PCT,A_Last_10_Avg_PACE,A_Last_10_Avg_PIE
0,21600001,CLE,NYK,1500,1500,12.0,5.0,22.0,117.0,29.0,115.8,87.1,2.07,20.9,0.353,0.729,0.555,14.9,0.572,101.0,0.703,6.0,6.0,22.0,88.0,-29.0,87.1,115.8,0.94,13.0,0.271,0.647,0.445,17.8,0.459,101.0,0.297
1,21600002,POR,UTA,1500,1500,5.0,3.0,18.0,113.0,9.0,122.8,114.3,1.69,18.4,0.222,0.738,0.5,14.1,0.667,91.5,0.548,9.0,5.0,19.0,104.0,-9.0,114.3,122.8,1.36,15.6,0.262,0.778,0.5,15.4,0.584,91.5,0.452
2,21600003,GSW,SAS,1500,1500,11.0,6.0,19.0,100.0,-29.0,99.0,129.0,1.5,18.1,0.208,0.528,0.376,15.8,0.538,100.5,0.4,13.0,3.0,19.0,129.0,29.0,129.0,99.0,1.79,16.8,0.472,0.792,0.624,14.0,0.589,100.5,0.6
3,21600004,ORL,MIA,1500,1500,10.0,4.0,24.0,120.0,6.0,112.9,118.8,1.93,20.4,0.283,0.674,0.478,14.9,0.582,101.0,0.503,10.0,1.0,23.0,114.0,-6.0,118.8,112.9,1.31,15.5,0.326,0.717,0.522,15.8,0.608,101.0,0.497
4,21600005,IND,DAL,1500,1500,6.0,3.0,29.0,94.0,-19.0,96.9,116.5,1.11,15.8,0.267,0.696,0.484,18.6,0.529,97.0,0.383,5.0,5.0,20.0,113.0,19.0,116.5,96.9,1.71,17.7,0.304,0.733,0.516,14.4,0.58,97.0,0.617
5,21600006,BKN,BOS,1500,1500,7.0,4.0,22.0,107.0,5.0,96.4,92.7,0.72,12.8,0.292,0.891,0.612,22.5,0.549,110.5,0.501,16.0,5.0,29.0,102.0,-5.0,92.7,96.4,2.82,21.3,0.109,0.708,0.388,10.0,0.493,110.5,0.499
6,21600007,TOR,DET,1500,1500,6.0,5.0,23.0,98.0,-4.0,109.7,107.7,1.46,15.3,0.333,0.648,0.5,14.0,0.555,92.0,0.536,6.0,11.0,25.0,102.0,4.0,107.7,109.7,1.82,15.4,0.352,0.667,0.5,12.1,0.496,92.0,0.464
7,21600008,MIL,CHA,1500,1500,5.0,10.0,22.0,97.0,-6.0,103.0,97.0,1.9,14.1,0.305,,,10.0,0.488,100.0,0.514,7.0,3.0,23.0,103.0,6.0,97.0,103.0,1.5,16.2,,0.695,,14.0,0.511,100.0,0.486
8,21600009,MIN,MEM,1500,1500,8.0,0.0,22.0,109.0,18.0,93.8,112.4,1.21,13.6,0.231,0.7,0.461,14.4,0.486,97.0,0.39,8.0,0.0,24.0,91.0,-18.0,112.4,93.8,1.42,13.3,0.3,0.769,0.539,12.4,0.552,97.0,0.61
9,21600010,DEN,NOP,1500,1500,8.0,3.0,19.0,117.0,-5.0,112.5,117.3,1.38,15.3,0.345,,,15.4,0.553,104.0,0.408,13.0,9.0,20.0,122.0,5.0,117.3,112.5,1.89,23.7,,0.655,,18.3,0.629,104.0,0.592
10,21600011,PHI,OKC,1500,1500,11.0,6.0,23.0,130.0,9.0,105.2,112.1,1.73,17.0,0.246,0.784,0.491,13.0,0.541,104.6,0.429,8.0,8.0,27.0,121.0,-9.0,112.1,105.2,1.88,19.5,0.216,0.754,0.509,13.8,0.602,104.6,0.571
11,21600012,PHX,SAC,1500,1500,5.0,4.0,15.0,96.0,-12.0,112.5,102.1,2.25,18.9,0.415,0.679,0.55,12.5,0.519,95.0,0.57,5.0,7.0,22.0,108.0,12.0,102.1,112.5,1.82,15.1,0.321,0.585,0.45,11.7,0.474,95.0,0.43
12,21600013,LAL,HOU,1500,1500,4.0,5.0,22.0,96.0,-11.0,111.5,102.1,2.7,19.8,0.288,0.75,0.528,10.4,0.537,95.0,0.571,5.0,10.0,22.0,107.0,11.0,102.1,111.5,2.88,17.5,0.25,0.712,0.472,8.5,0.476,95.0,0.429
16,21600014,WAS,ATL,1500,1500,4.5,3.5,26.0,109.5,0.5,117.85,109.1,1.595,13.75,0.261,0.729,0.4955,11.0,0.5895,96.5,0.534,10.0,4.0,25.0,114.0,8.0,103.9,112.9,1.29,13.7,0.28,0.7,0.509,13.7,0.535,101.5,0.48
